UF,Estado,Nome IF,Campus / Município,IDHM-2010,Pop. Residente,SMMínimo (em salários mínimos),PIB per capita (R$),Pessoal com ocupação,Núm. de empresas atuantes,Matrícula ensino médio (2012),Matrícula ensino fundamental (2012),Qtd. de cursos técicos,Qtd. de eixos (consolidado por IF sede),Qtd. matriculas em CT,IDEB 2013 (Series finais rede publica),Qtd. de grupos de pesquisa (Valor agregado para o IF .),Projetos PIBID (Valor agregado por IF),Infraestrutura,Especialista,Mestre,Doutores
PE,Pernambuco,Instituto Federal do Sertão Pernambucano,Petrolina,0.697,"293,962",2,"11,044.33","61,609","5,765","17,169","55,864",,8,,"3,9",10,257,3,55.95,35.60,8.45
PE,Pernambuco,Instituto Federal de Pernambuco,Recife,0.772,"1,537,704",3.2,"21,434.88","789,968","43,112","74,638","211,549",,4,,"3,5",28,225,4,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal do Sertão Pernambucano,Salgueiro,0.669,"56,629",2.8,"9,916.05","12,704","1,001","3,332","10,839",,3,,"4,5",10,257,3,55.95,35.60,8.45
PE,Pernambuco,Instituto Federal de Pernambuco,São Lourenço da Mata,0.653,"102,895",2.5,"5,891.13","15,554",826,"3,501","14,952",,4,,"3,4",28,225,2,39.12,48.70,12.18
PE,Pernambuco,Instituto Federal de Pernambuco,Vitória de Santo Antão,0.640,"129,974",1.9,"12,566.66","20,392","2,004","6,513","21,907",,3,,"3,2",28,225,3,39.12,48.70,12.18
PI,Piauí,Instituto Federal do Piauí,Angical do Piauí,0.630,"6,672",1.7,"4,526.49",399,107,606,"1,267",,5,,"3,9",4,635,2,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Bom Jesus,0.668,"22,629",1.8,"11,877.73","2,947",684,"1,073","4,475",,4,,"3,0",4,635,2,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Corrente,0.642,"25,407",1.7,"5,639.56","2,185",402,"1,469","5,571",,5,,"3,4",4,635,3,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Floriano,0.700,"57,690",1.6,"10,263.95","9,592","1,269","4,081","9,401",,7,,"3,7",4,635,4,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Floriano,0.700,"57,690",1.6,"10,263.95","9,592","1,269","4,081","9,401",,7,,"3,7",4,635,4,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Parnaíba,0.687,"145,705",1.6,"7,088.69","18,999","2,671","7,835","22,781",,7,,"3,2",4,635,2,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Paulistana,0.600,"19,785",2.8,"5,438.85","1,717",409,819,"4,117",,5,,"4,2",4,635,2,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Pedro II,0.571,"37,496",1.2,"4,094.08","2,319",413,"1,690","8,247",,5,,"3,9",4,635,2,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Picos,0.698,"73,414",1.5,"9,975.27","12,692","2,063","4,681","12,542",,6,,"3,7",4,635,3,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Piripiri,0.635,"61,834",1.7,"5,541.51","5,764",967,"3,263","10,488",,6,,"4,9",4,635,2,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,São Raimundo Nonato,0.661,"32,327",1.8,"6,203.16","3,736",811,"1,688","5,522",,5,,"3,0",4,635,3,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Teresina,0.751,"814,230",2.7,"13,866.75","291,324","17,577","52,611","119,306",,11,,"3,4",4,635,4,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Teresina,0.751,"814,230",2.7,"13,866.75","291,324","17,577","52,611","119,306",,11,,"3,4",4,635,4,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Teresina,0.751,"814,230",2.7,"13,866.75","291,324","17,577","52,611","119,306",,11,,"3,4",4,635,4,62.55,31.58,5.87
PI,Piauí,Instituto Federal do Piauí,Uruçuí,0.631,"20,149",2.1,"29,552.15","2,757",466,980,"4,257",,6,,"4,2",4,635,3,62.55,31.58,5.87
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Arraial do Cabo,0.733,"27,715",2.1,"15,904.50","5,321",697,"1,009","4,238",,2,,"3,1",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal Fluminense,Bom Jesus do Itabapoana,0.732,"35,411",1.7,"12,567.65","6,665",869,"2,037","5,517",,6,,"4,9",10,40,2,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal Fluminense,Cabo Frio,0.735,"186,227",2,"49,086.75","45,193","6,077","6,311","30,275",,4,,"2,8",10,40,3,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal Fluminense,Campos dos Goytacazes,0.716,"463,731",2.3,"79,484.78","105,533","9,880","15,612","73,959",,7,,"3,4",10,40,3,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal Fluminense,Campos dos Goytacazes,0.716,"463,731",2.3,"79,484.78","105,533","9,880","15,612","73,959",,7,,"3,4",10,40,3,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Duque de Caxias,0.711,"855,048",2.8,"30,921.86","196,445","13,583","36,447","131,810",,4,,"3,3",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Engenheiro Paulo de Frontin,0.722,"13,237",1.7,"11,366.90","2,160",237,769,"1,753",,1,,"5,7",47,206,2,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal Fluminense,Itaperuna,0.730,"95,841",1.9,"16,281.80","22,806","2,799","3,356","12,799",,4,,"4,7",10,40,3,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal Fluminense,Macaé,0.764,"206,728",7.5,"59,116.45","150,068","5,755","7,452","31,610",,4,,"3,6",10,40,2,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Mesquita,0.656,"6,069",1.3,"5,448.42",517,92,359,802,,-,,"3,5",47,206,2,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Nilópolis,0.753,"157,425",1.8,"11,498.86","22,699","2,378","8,947","24,276",,3,,"3,3",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Paracambi,0.720,"47,124",3.5,"11,123.30","9,970",778,"2,137","5,808",,1,,"3,3",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Pinheiral,0.715,"22,719",1.6,"9,813.68","3,792",475,967,"3,325",,6,,"4,5",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal Fluminense,Quissamã,0.704,"20,242",3,"193,740.96","3,690",321,835,"3,562",,4,,"3,6",10,40,3,44.38,41.07,14.55
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,4,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Rio de Janeiro,0.799,"6,320,446",4.3,"32,940.23","2,870,096","196,515","239,708","803,315",,7,,"3,7",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,São Gonçalo,0.739,"999,728",1.9,"11,488.34","131,437","12,507","26,481","110,310",,2,,"3,4",47,206,3,25.44,48.40,26.16
RJ,Rio de Janeiro,Instituto Federal do Rio de Janeiro,Volta Redonda,0.771,"257,803",2.8,"35,126.98","87,366","7,065","11,713","37,158",,2,,"4,3",47,206,4,25.44,48.40,26.16
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Apodi,0.639,"34,763",1.7,"10,809.08","2,730",483,"1,814","4,691",,3,,"3,5",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Caicó,0.710,"62,709",1.6,"9,415.19","11,535","1,491","3,301","8,842",,3,,"3,1",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Currais Novos,0.691,"42,652",1.7,"8,494.87","6,701","1,008","2,357","6,274",,2,,"3,4",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Ipanguaçu,0.603,"13,856",1.5,"5,870.01","2,134",134,"1,245","2,485",,3,,"1,9",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,João Câmara,0.595,"32,227",1.7,"6,289.62","2,782",515,"2,113","6,463",,3,,"2,7",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Macaíba,0.640,"69,467",1.8,"13,547.61","11,375",900,"2,723","11,176",,9,,"3,2",100,634,2,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Macau,0.665,"28,954",1.8,"20,106.75","4,988",639,"1,495","4,617",,2,,"3,1",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Mossoró,0.720,"259,815",2.6,"14,872.20","68,375","5,905","12,334","38,232",,3,,"3,4",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Natal,0.763,"803,739",3,"15,129.28","348,891","23,065","39,504","111,472",,10,,"3,0",100,634,5,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Nova Cruz,0.629,"35,490",1.6,"6,530.46","2,886",405,"1,521","6,895",,3,,"2,7",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Parnamirim,0.766,"202,456",1.9,"13,001.84","43,591","3,814","8,472","29,482",,2,,"3,6",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Pau dos Ferros,0.678,"27,745",1.6,"8,598.08","3,971",790,"1,784","4,370",,2,,"3,6",100,634,3,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,Santa Cruz,0.635,"35,797",1.8,"6,013.11","3,618",561,"2,059","6,067",,2,,"2,9",100,634,4,40.77,48.04,11.19
RN,Rio Grande do Norte,Instituto Federal do Rio Grande do Norte,São Gonçalo do Amarante,0.665,"43,890",4.1,"29,336.60","8,135",594,"3,183","7,827",,3,,"2,5",100,634,2,40.77,48.04,11.19
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Alegrete,0.740,"77,653",2.1,"15,757.07","13,393","2,042","3,677","10,124",,4,,"3,9",24,246,4,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Bagé,0.740,"116,794",2.6,"12,522.61","23,810","3,373","5,253","16,915",,4,,"3,1",16,227,3,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Bento Gonçalves,0.778,"107,278",3,"30,877.32","52,317","7,517","3,712","12,423",,4,,"4,1",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Camaquã,0.697,"62,764",2.2,"17,889.02","13,432","2,297","2,763","8,682",,4,,"4,1",16,227,2,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Canoas,0.750,"323,827",3.4,"47,711.11","107,061","12,942","11,976","49,108",,3,,"3,4",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Caxias do Sul,0.782,"435,564",3.3,"37,696.92","215,775","25,536","16,360","56,408",,3,,"4,2",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Charqueadas,0.747,"35,320",2.8,"26,714.39","6,637","1,022","1,431","4,776",,5,,"4,3",16,227,4,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Erechim,0.776,"96,087",2.4,"27,911.36","47,913","5,509","3,959","11,860",,4,,"5,0",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Farroupilha,0.777,"63,635",3.1,"27,555.34","30,210","3,620","2,793","8,111",,3,,"4,3",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Feliz,0.750,"12,359",2.2,"20,176.81","4,553",672,422,"1,417",,4,,"4,9",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Frederico Westphalen,0.760,"28,843",2.1,"21,603.26","9,742","1,538","1,542","3,616",,3,,"5,2",24,246,3,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Ibirubá,0.765,"19,310",2.4,"33,755.69","6,463",865,737,"2,218",,3,,"4,4",37,163,2,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Jaguari,0.712,"11,473",2.1,"14,023.95","2,632",340,360,"1,260",,5,,"4,3",24,246,2,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Júlio de Castilhos,0.716,"19,579",2.1,"27,486.56","3,114",692,843,"2,779",,4,,"4,8",24,246,2,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Osório,0.751,"40,906",2.6,"17,812.44","12,225","1,696","1,927","5,947",,3,,"3,9",37,163,3,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal Farroupilha,Panambi,0.761,"38,058",2.8,"26,889.47","15,615","1,664","1,512","5,036",,7,,"4,9",24,246,3,15.83,61.01,23.17
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Passo Fundo,0.776,"184,826",2.5,"26,814.25","69,012","9,344","7,333","25,012",,4,,"3,8",16,227,3,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Pelotas,0.739,"328,275",2.6,"16,488.14","90,109","11,342","12,289","43,249",,10,,"3,3",16,227,4,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal Sul Rio Grandense,Pelotas,0.739,"328,275",2.6,"16,488.14","90,109","11,342","12,289","43,249",,10,,"3,3",16,227,4,43.54,41.95,14.51
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Porto Alegre,0.805,"1,409,351",4,"32,203.11","875,881","89,032","48,214","177,090",,8,,"3,4",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Porto Alegre,0.805,"1,409,351",4,"32,203.11","875,881","89,032","48,214","177,090",,8,,"3,4",37,163,4,30.15,48.81,21.05
RS,Rio Grande do Sul,Instituto Federal do Rio Grande do Sul,Rio Grande,0.744,"197,228",3.7,"41,376.38","57,379","5,682","7,116","27,862",,5,,"3,1",37,163,3,30.15,48.81,21.05
